Host,Контур,ПО,Версия
mdm30-infra-elk-os03p,prod,Opensearch,2.16.0
mdm30-infra-elk-os04p,prod,Opensearch,2.16.0
mdm30-infra-elk-os05p,prod,Opensearch,2.16.0
mdm30-infra-elk-os06p,prod,Opensearch,2.16.0
mdm30-infra-elk01s,stage,Logstash,8.9.0
mdm30-infra-elk01s,stage,Opensearch,2.16.0
mdm30-infra-gen-app01p,stage,Docker,26.1.5-ce
mdm30-infra-jenk001p,prod_dc15,Docker,26.1.5-ce
mdm30-infra-jenk001p,prod_dc15,Jenkins,2.424
mdm30-infra-mon001p,prod_dc15,vmagent,v1.115.0
mdm30-infra-mon002p,prod_dc15,vmagent,v1.115.0
mdm30-infra-mon003p,prod_dc15,vmagent,v1.115.0
mdm30-infra-mon004p,prod_dc15,vmagent,v1.115.0
mdm30-infra-mon005p,prod_dc15,vmagent,v1.115.0
mdm30-infra-mon006p,prod_dc15,vmagent,v1.115.0
mdm30-infra-mon007p,prod,vmagent,v1.115.0
mdm30-infra-mon01s,stage,vmagent,v1.115.0
mdm30-infra-zbx01p,prod,vmagent,v1.115.0
mdm30-infra-zbx02p,prod,vmagent,v1.115.0
mdm30-kad-dtg-pg01p,prod,Keepalived,v1.3.5
mdm30-kad-dtg-pg01p,prod,PostgreSQL,15.1.0
mdm30-kad-dtg-pg01s,stage,PostgreSQL,15.4.0
mdm30-kad-dtg-pg02p,prod,Keepalived,v1.3.5
mdm30-kad-dtg-pg02p,prod,PostgreSQL,15.1.0
mdm30-kad-merge-app01p,prod,Nifi,1.24.0
mdm30-kad-merge-app01s,stage,Nifi,1.24.0
mdm30-kad-merge-app02p,prod,Nifi,1.24.0
mdm30-kad-merge-app02s,stage,Nifi,1.19.1
mdm30-kad-merge-app03p,prod,Nifi,1.24.0
mdm30-kad-merge-app03s,stage,Nifi,1.19.1
mdm30-kad-merge-nf001p,prod_dc15,Nifi,1.24.0
mdm30-kad-merge-nf002p,prod_dc15,Nifi,1.24.0
mdm30-kad-merge-nf003p,prod_dc15,Nifi,1.24.0
mdm30-kad-merge-nf01p,prod,Nifi,2.5.0
mdm30-kad-merge-nf01s,stage,Nifi,2.5.0
mdm30-kad-merge-nf01s,stage,Zk,3.9.4
mdm30-kad-merge-nf02p,prod,Nifi,2.5.0
mdm30-kad-merge-nf02s,stage,Nifi,2.5.0
mdm30-kad-merge-nf02s,stage,Zk,3.9.4
mdm30-kad-merge-nf03p,prod,Nifi,2.5.0
mdm30-kad-merge-nf03s,stage,Nifi,2.5.0
mdm30-kad-merge-nf03s,stage,Zk,3.9.4
mdm30-kad-merge-zk01p,prod,ETCD,3.4.13
